-	CRC001-H.tab	CRC001-T.tab	CRC002-H.tab	CRC002-T.tab	CRC003-H.tab	CRC003-T.tab	CRC004-H.tab	CRC004-T.tab	CRC005-H.tab	CRC005-T.tab	CRC006-H.tab	CRC006-T.tab	CRC007-H.tab	CRC007-T.tab	CRC008-H.tab	CRC008-T.tab	CRC009-H.tab	CRC009-T.tab	CRC010-H.tab	CRC010-T.tab	CRC011-H.tab	CRC011-T.tab	CRC012-H.tab	CRC012-T.tab	CRC013-H.tab	CRC013-T.tab	CRC014-H.tab	CRC014-T.tab	CRC015-H.tab	CRC015-T.tab	CRC016-H.tab	CRC016-T.tab	CRC017-H.tab	CRC017-T.tab	CRC018-H.tab	CRC018-T.tab	CRC019-H.tab	CRC019-T.tab	CRC020-H.tab	CRC020-T.tab	CRC021-H.tab	CRC021-T.tab	CRC022-H.tab	CRC022-T.tab	CRC023-H.tab	CRC023-T.tab	CRC024-H.tab	CRC024-T.tab	CRC025-H.tab	CRC025-T.tab	CRC026-H.tab	CRC026-T.tab	CRC027-H.tab	CRC027-T.tab	CRC028-H.tab	CRC028-T.tab	CRC029-H.tab	CRC029-T.tab	CRC030-H.tab	CRC030-T.tab	CRC031-H.tab	CRC031-T.tab	CRC032-H.tab	CRC032-T.tab	CRC033-H.tab	CRC033-T.tab	CRC034-H.tab	CRC035-H.tab	CRC035-T.tab
NODE_2262_length_1394_cov_220.351	1184	1277	268	328	1965	231	79	535	177	51	484	8526	170	383	101	1208	465	319	279	114	39	218	64	94	1705	1312	290	114	183	250	323	768	198	531	736	18108	47	389	245	2063	252	179	2	1	3	6	36	4	13	2	13	3	36	0	0	14	1	0	0	1	23	59	27	6	235	19	120	69	1
NODE_1679_length_1694_cov_6.18914	874	2447	1359	3995	1568	699	346	1750	657	119	1646	3606	443	1788	379	2602	1838	2241	942	126	62	364	125	166	2597	2350	1317	600	525	933	967	529	714	924	2176	7430	241	1443	1118	3704	1152	1262	6	21	3	6	178	19	238	84	36	13	693	0	9	14	3	26	0	23	174	31	162	27	636	143	729	305	223
NODE_960_length_2391_cov_3.90325	770	2388	964	3195	1404	579	242	1503	611	107	1234	2452	334	1581	354	2265	1238	1687	635	113	47	265	80	144	2437	2383	1068	473	407	769	677	407	508	664	1532	5080	161	907	832	3131	747	915	3	12	3	10	111	6	182	52	22	6	407	0	0	8	1	12	2	6	26	21	48	15	346	41	421	144	114
NODE_3684_length_993_cov_1092.6	598	852	275	567	925	170	155	564	221	31	529	7278	227	349	136	1458	459	413	331	76	35	165	54	57	1200	758	252	94	176	137	459	487	215	638	877	14899	58	490	342	2375	413	357	1	0	1	1	36	12	43	21	21	3	48	0	1	12	0	68	1	0	114	59	77	10	293	16	159	147	41
NODE_2159_length_1448_cov_329.078	546	596	66	107	919	59	21	181	39	29	196	4893	66	134	45	456	135	121	97	39	8	54	14	29	693	568	86	23	52	74	105	358	55	170	260	10261	7	106	89	765	97	61	1	1	0	1	3	0	3	0	0	1	18	0	0	2	1	0	0	1	15	8	4	2	64	3	40	19	0
NODE_1682_length_1692_cov_120.321	511	658	213	638	812	139	107	538	169	48	420	4803	174	359	106	1125	355	321	256	87	30	139	61	81	972	507	201	67	201	174	358	368	160	417	650	9936	41	353	264	1731	261	252	2	0	4	0	39	7	33	14	10	3	49	0	1	4	3	46	1	1	72	73	45	11	350	13	244	191	128
NODE_153_length_5874_cov_15.7089	474	452	140	159	768	103	59	210	90	19	205	3894	136	145	52	537	222	132	139	82	17	130	20	71	699	407	122	38	112	138	197	328	103	248	349	8227	24	245	133	845	120	78	3	7	1	1	24	2	19	2	2	3	15	0	0	3	2	1	1	0	13	29	25	8	114	4	76	38	47
NODE_3531_length_1019_cov_50.3351	464	422	130	147	724	94	39	221	79	17	208	3742	90	174	43	565	220	128	130	46	14	78	15	55	768	379	137	40	94	117	180	386	106	295	306	7939	11	197	125	1090	131	96	1	1	1	0	24	2	15	1	5	2	26	0	0	4	0	2	0	0	15	31	6	10	92	6	36	36	30
NODE_4840_length_847_cov_341.513	461	666	170	411	703	129	79	280	149	35	393	4820	148	444	125	1226	327	293	222	68	29	90	51	65	954	546	199	62	181	133	302	295	143	408	711	10107	47	402	271	2065	326	264	1	11	2	1	23	8	51	0	6	7	45	0	1	8	3	82	0	0	22	93	3	8	252	44	206	146	165
NODE_3340_length_1058_cov_10.0778	411	486	149	248	567	93	58	424	104	22	329	2955	207	314	83	859	280	270	188	70	25	121	36	58	752	348	173	72	195	116	304	272	125	381	576	6050	54	327	248	1385	213	191	0	6	1	2	25	10	30	6	14	3	43	0	0	10	1	3	1	2	10	50	17	25	231	25	161	155	21
