-	CRC001-H.tab	CRC001-T.tab	CRC002-H.tab	CRC002-T.tab	CRC003-H.tab	CRC003-T.tab	CRC004-H.tab	CRC004-T.tab	CRC005-H.tab	CRC005-T.tab	CRC006-H.tab	CRC006-T.tab	CRC007-H.tab	CRC007-T.tab	CRC008-H.tab	CRC008-T.tab	CRC009-H.tab	CRC009-T.tab	CRC010-H.tab	CRC010-T.tab	CRC011-H.tab	CRC011-T.tab	CRC012-H.tab	CRC012-T.tab	CRC013-H.tab	CRC013-T.tab	CRC014-H.tab	CRC014-T.tab	CRC015-H.tab	CRC015-T.tab	CRC016-H.tab	CRC016-T.tab	CRC017-H.tab	CRC017-T.tab	CRC018-H.tab	CRC018-T.tab	CRC019-H.tab	CRC019-T.tab	CRC020-H.tab	CRC020-T.tab	CRC021-H.tab	CRC021-T.tab	CRC022-H.tab	CRC022-T.tab	CRC023-H.tab	CRC023-T.tab	CRC024-H.tab	CRC024-T.tab	CRC025-H.tab	CRC025-T.tab	CRC026-H.tab	CRC026-T.tab	CRC027-H.tab	CRC027-T.tab	CRC028-H.tab	CRC028-T.tab	CRC029-H.tab	CRC029-T.tab	CRC030-H.tab	CRC030-T.tab	CRC031-H.tab	CRC031-T.tab	CRC032-H.tab	CRC032-T.tab	CRC033-H.tab	CRC033-T.tab	CRC034-H.tab	CRC035-H.tab	CRC035-T.tab
gi|1119035555|ref|NC_032111.1|	949	193	78	1168	1726	77	39	300	66	41	134	19347	87	136	20	456	196	134	86	97	22	72	68	27	922	178	120	30	100	88	160	841	71	131	259	41607	28	207	112	919	147	109	1	3	0	2	32	1	17	3	7	6	63	0	0	15	1	1	1	5	18	14	88	18	231	29	155	156	31
gi|131840030|ref|NC_009127.1|	5	1	3	2	20	1	1	3	2	1	1	142	0	5	1	12	2	0	1	3	0	2	0	0	9	8	1	3	3	0	2	12	1	3	6	317	0	6	1	16	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
gi|73852470|ref|NC_007346.1|	4	3	1	0	4	1	0	2	1	0	2	188	0	1	2	8	2	1	0	2	0	1	0	0	15	4	3	0	1	2	1	11	6	0	1	333	0	1	5	17	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|548558394|ref|NC_022518.1|	3	1	2	2	2	0	1	3	1	0	0	12	0	0	0	4	3	1	3	1	0	0	1	0	3	2	1	0	0	0	0	2	0	0	0	18	0	0	2	4	1	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	3	0	13	0	4	4	2
gi|639163062|ref|NC_024123.1|	2	0	0	0	6	1	1	0	0	0	2	75	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	5	0	0	1	192	0	2	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
gi|124378202|ref|NC_008912.1|	2	2	0	0	4	0	1	1	1	0	2	48	0	3	1	0	0	1	0	0	0	2	0	0	3	2	0	0	0	1	0	1	1	2	1	73	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|9629818|ref|NC_001847.1|	1	2	0	2	5	1	0	0	0	0	0	82	0	2	0	5	4	0	1	0	0	0	0	0	2	1	0	0	0	1	2	5	0	1	1	127	0	4	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|674660337|ref|NC_024711.1|	1	0	0	3	37	53	0	0	294	51	82	213	13	88	0	0	2	3	10	10	2	4	7	1	2	2	15	8	4	55646	0	2	37	11	6	5	138	234	7	9	3	3	14	5	55449	29686	1	5	167	10	4	0	1	0	2	3	0	0	1	0	740	61	0	1	0	2	0	0	0
gi|667699536|ref|NC_024486.1|	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|658607355|ref|NC_024382.1|	1	1	0	1	7	2	0	0	1	0	1	71	0	2	0	4	2	0	1	0	0	1	0	0	6	5	0	2	1	3	0	7	0	2	3	125	1	4	1	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|564292828|ref|NC_023009.1|	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|531034792|ref|NC_022098.1|	1	2	0	0	3	0	0	0	1	0	0	22	0	1	0	2	1	0	0	0	0	0	0	0	3	6	0	1	0	0	0	3	0	1	2	63	0	0	1	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|224020395|ref|NC_001664.2|	1	2	0	0	3	1	0	2	2	0	0	19	0	0	0	7	1	1	0	0	0	0	0	0	2	11	1	0	3	1	2	3	2	2	1	56	0	3	1	11	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|11038431|ref|NC_001875.2|	1	0	0	1	0	0	0	0	1	0	1	44	0	1	0	2	1	1	0	0	0	1	0	0	1	3	1	0	0	1	1	2	0	0	1	83	0	1	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|10140926|ref|NC_002531.1|	1	0	0	0	0	0	0	1	0	0	0	7	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	16	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|9625875|ref|NC_001348.1|	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|83642839|ref|NC_007646.1|	0	1	0	0	0	0	0	0	0	0	1	5	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
